timestamp,path,name,download (in secs),MB,min,url
20201015 03:03:37,D:\musica\reloaded\20201014_djci.mp3,djci,12,86,94,https://media.deejay.it/2020/10/14/episodes/deejay_chiama_italia/20201014.mp3
20201015 03:03:47,D:\musica\reloaded\20201014_epcc.mp3,epcc,9,42,46,https://media.deejay.it/2020/10/14/episodes/catteland/20201014.mp3
20201016 18:36:26,D:\musica\reloaded\20201015_cr31.mp3,cr31,12,78,85,https://media.deejay.it/2020/10/15/episodes/chiamate_roma_triuno_triuno/20201015.mp3
20201016 18:36:38,D:\musica\reloaded\20201015_djci.mp3,djci,10,82,90,https://media.deejay.it/2020/10/15/episodes/deejay_chiama_italia/20201015.mp3
20201016 18:36:44,D:\musica\reloaded\20201015_epcc.mp3,epcc,6,43,47,https://media.deejay.it/2020/10/15/episodes/catteland/20201015.mp3
20201016 18:36:56,D:\musica\reloaded\20201016_cr31.mp3,cr31,10,78,85,https://media.deejay.it/2020/10/16/episodes/chiamate_roma_triuno_triuno/20201016.mp3
20201016 18:37:07,D:\musica\reloaded\20201016_djci.mp3,djci,10,82,90,https://media.deejay.it/2020/10/16/episodes/deejay_chiama_italia/20201016.mp3
20201016 18:37:12,D:\musica\reloaded\20201016_epcc.mp3,epcc,5,40,44,https://media.deejay.it/2020/10/16/episodes/catteland/20201016.mp3
20201024 11:32:19,D:\musica\reloaded\20201017_djfc.mp3,djfc,11,49,53,https://media.deejay.it/2020/10/17/episodes/deejay_football_club/20201017.mp3
20201024 11:32:34,D:\musica\reloaded\20201018_djtc.mp3,djtc,12,43,47,https://media.deejay.it/2020/10/18/episodes/deejay_training_center/20201018.mp3
20201024 11:32:47,D:\musica\reloaded\20201019_cr31.mp3,cr31,11,77,85,https://media.deejay.it/2020/10/19/episodes/chiamate_roma_triuno_triuno/20201019.mp3
20201024 11:32:58,D:\musica\reloaded\20201019_djci.mp3,djci,10,84,92,https://media.deejay.it/2020/10/19/episodes/deejay_chiama_italia/20201019.mp3
20201024 11:33:06,D:\musica\reloaded\20201019_epcc.mp3,epcc,8,40,43,https://media.deejay.it/2020/10/19/episodes/catteland/20201019.mp3
20201024 11:33:19,D:\musica\reloaded\20201020_cr31.mp3,cr31,11,79,86,https://media.deejay.it/2020/10/20/episodes/chiamate_roma_triuno_triuno/20201020.mp3
20201024 11:33:32,D:\musica\reloaded\20201020_djci.mp3,djci,13,85,93,https://media.deejay.it/2020/10/20/episodes/deejay_chiama_italia/20201020.mp3
20201024 11:33:39,D:\musica\reloaded\20201020_epcc.mp3,epcc,6,42,46,https://media.deejay.it/2020/10/20/episodes/catteland/20201020.mp3
20201024 11:33:55,D:\musica\reloaded\20201021_cr31.mp3,cr31,12,78,86,https://media.deejay.it/2020/10/21/episodes/chiamate_roma_triuno_triuno/20201021.mp3
20201024 11:34:07,D:\musica\reloaded\20201021_djci.mp3,djci,11,88,97,https://media.deejay.it/2020/10/21/episodes/deejay_chiama_italia/20201021.mp3
20201024 11:34:13,D:\musica\reloaded\20201021_epcc.mp3,epcc,5,42,46,https://media.deejay.it/2020/10/21/episodes/catteland/20201021.mp3
20201024 11:34:25,D:\musica\reloaded\20201022_cr31.mp3,cr31,10,79,87,https://media.deejay.it/2020/10/22/episodes/chiamate_roma_triuno_triuno/20201022.mp3
20201024 11:34:36,D:\musica\reloaded\20201022_djci.mp3,djci,10,85,93,https://media.deejay.it/2020/10/22/episodes/deejay_chiama_italia/20201022.mp3
20201024 11:34:44,D:\musica\reloaded\20201022_epcc.mp3,epcc,7,44,48,https://media.deejay.it/2020/10/22/episodes/catteland/20201022.mp3
20201024 11:34:55,D:\musica\reloaded\20201023_cr31.mp3,cr31,9,78,86,https://media.deejay.it/2020/10/23/episodes/chiamate_roma_triuno_triuno/20201023.mp3
20201024 11:35:09,D:\musica\reloaded\20201023_djci.mp3,djci,14,83,91,https://media.deejay.it/2020/10/23/episodes/deejay_chiama_italia/20201023.mp3
20201024 11:35:17,D:\musica\reloaded\20201023_epcc.mp3,epcc,8,40,44,https://media.deejay.it/2020/10/23/episodes/catteland/20201023.mp3
20201030 09:04:37,D:\musica\reloaded\20201024_djfc.mp3,djfc,15,50,54,https://media.deejay.it/2020/10/24/episodes/deejay_football_club/20201024.mp3
20201030 09:04:43,D:\musica\reloaded\20201025_djtc.mp3,djtc,5,45,49,https://media.deejay.it/2020/10/25/episodes/deejay_training_center/20201025.mp3
20201030 09:04:55,D:\musica\reloaded\20201026_cr31.mp3,cr31,11,84,92,https://media.deejay.it/2020/10/26/episodes/chiamate_roma_triuno_triuno/20201026.mp3
20201030 09:05:08,D:\musica\reloaded\20201026_djci.mp3,djci,13,91,99,https://media.deejay.it/2020/10/26/episodes/deejay_chiama_italia/20201026.mp3
20201030 09:05:18,D:\musica\reloaded\20201026_epcc.mp3,epcc,9,45,49,https://media.deejay.it/2020/10/26/episodes/catteland/20201026.mp3
20201030 09:05:30,D:\musica\reloaded\20201027_cr31.mp3,cr31,9,81,89,https://media.deejay.it/2020/10/27/episodes/chiamate_roma_triuno_triuno/20201027.mp3
20201030 09:05:42,D:\musica\reloaded\20201027_djci.mp3,djci,12,89,97,https://media.deejay.it/2020/10/27/episodes/deejay_chiama_italia/20201027.mp3
20201030 09:05:49,D:\musica\reloaded\20201027_epcc.mp3,epcc,6,43,47,https://media.deejay.it/2020/10/27/episodes/catteland/20201027.mp3
20201030 09:05:59,D:\musica\reloaded\20201028_cr31.mp3,cr31,9,80,87,https://media.deejay.it/2020/10/28/episodes/chiamate_roma_triuno_triuno/20201028.mp3
20201030 09:06:10,D:\musica\reloaded\20201028_djci.mp3,djci,10,85,93,https://media.deejay.it/2020/10/28/episodes/deejay_chiama_italia/20201028.mp3
