timestamp        ,path                                 ,name,download (in secs),MB ,min,url
20191001 10:58:22,/home/biadmin/Music/20191001_cr31.mp3,cr31,23                ,78 ,86 ,https://media.deejay.it/2019/10/01/episodes/chiamate_roma_triuno_triuno/20191001.mp3
20191001 11:36:32,/home/biadmin/Music/20190501_epcc.mp3,epcc,15                ,48 ,53 ,https://media.deejay.it/legacy/audio/catteland/20190501.mp3
20191001 11:36:46,/home/biadmin/Music/20190502_epcc.mp3,epcc,13                ,43 ,47 ,https://media.deejay.it/legacy/audio/catteland/20190502.mp3
20191001 11:37:00,/home/biadmin/Music/20190503_epcc.mp3,epcc,13                ,42 ,46 ,https://media.deejay.it/legacy/audio/catteland/20190503.mp3
20191001 11:37:13,/home/biadmin/Music/20190506_epcc.mp3,epcc,12                ,40 ,44 ,https://media.deejay.it/legacy/audio/catteland/20190506.mp3
20191001 11:37:25,/home/biadmin/Music/20190507_epcc.mp3,epcc,12                ,39 ,43 ,https://media.deejay.it/legacy/audio/catteland/20190507.mp3
20191001 11:37:38,/home/biadmin/Music/20190508_epcc.mp3,epcc,12                ,41 ,45 ,https://media.deejay.it/legacy/audio/catteland/20190508.mp3
20191001 11:37:51,/home/biadmin/Music/20190509_epcc.mp3,epcc,12                ,40 ,43 ,https://media.deejay.it/legacy/audio/catteland/20190509.mp3
20191001 11:38:04,/home/biadmin/Music/20190510_epcc.mp3,epcc,11                ,38 ,42 ,https://media.deejay.it/legacy/audio/catteland/20190510.mp3
20191001 11:38:16,/home/biadmin/Music/20190513_epcc.mp3,epcc,12                ,41 ,45 ,https://media.deejay.it/legacy/audio/catteland/20190513.mp3
20191001 11:38:34,/home/biadmin/Music/20190514_epcc.mp3,epcc,16                ,39 ,43 ,https://media.deejay.it/legacy/audio/catteland/20190514.mp3
20191001 11:38:47,/home/biadmin/Music/20190515_epcc.mp3,epcc,12                ,40 ,44 ,https://media.deejay.it/legacy/audio/catteland/20190515.mp3
20191001 11:38:59,/home/biadmin/Music/20190516_epcc.mp3,epcc,11                ,38 ,42 ,https://media.deejay.it/legacy/audio/catteland/20190516.mp3
20191001 11:39:12,/home/biadmin/Music/20190517_epcc.mp3,epcc,12                ,39 ,43 ,https://media.deejay.it/legacy/audio/catteland/20190517.mp3
20191001 11:39:24,/home/biadmin/Music/20190520_epcc.mp3,epcc,12                ,39 ,43 ,https://media.deejay.it/legacy/audio/catteland/20190520.mp3
