timestamp,path,name,download (in secs),MB,min,url
20200130 16:41:15,/home/biadmin/Music/20190201_epcc.mp3,epcc,8,45,49,https://media.deejay.it/legacy/audio/catteland/20190201.mp3
20200130 16:41:25,/home/biadmin/Music/20190204_epcc.mp3,epcc,7,42,46,https://media.deejay.it/legacy/audio/catteland/20190204.mp3
20200130 16:41:35,/home/biadmin/Music/20190205_epcc.mp3,epcc,7,43,47,https://media.deejay.it/legacy/audio/catteland/20190205.mp3
20200130 16:41:45,/home/biadmin/Music/20190206_epcc.mp3,epcc,7,43,47,https://media.deejay.it/legacy/audio/catteland/20190206.mp3
20200130 16:41:53,/home/biadmin/Music/20190207_epcc.mp3,epcc,6,42,46,https://media.deejay.it/legacy/audio/catteland/20190207.mp3
20200130 16:42:02,/home/biadmin/Music/20190208_epcc.mp3,epcc,7,40,44,https://media.deejay.it/legacy/audio/catteland/20190208.mp3
20200130 16:42:11,/home/biadmin/Music/20190211_epcc.mp3,epcc,6,41,45,https://media.deejay.it/legacy/audio/catteland/20190211.mp3
20200130 16:42:20,/home/biadmin/Music/20190212_epcc.mp3,epcc,6,41,45,https://media.deejay.it/legacy/audio/catteland/20190212.mp3
20200130 16:42:29,/home/biadmin/Music/20190213_epcc.mp3,epcc,6,41,45,https://media.deejay.it/legacy/audio/catteland/20190213.mp3
20200130 16:42:39,/home/biadmin/Music/20190214_epcc.mp3,epcc,7,40,44,https://media.deejay.it/legacy/audio/catteland/20190214.mp3
20200130 16:42:47,/home/biadmin/Music/20190215_epcc.mp3,epcc,6,41,44,https://media.deejay.it/legacy/audio/catteland/20190215.mp3
20200130 16:42:56,/home/biadmin/Music/20190218_epcc.mp3,epcc,6,40,44,https://media.deejay.it/legacy/audio/catteland/20190218.mp3
20200130 16:43:06,/home/biadmin/Music/20190219_epcc.mp3,epcc,7,41,44,https://media.deejay.it/legacy/audio/catteland/20190219.mp3
20200130 16:43:15,/home/biadmin/Music/20190220_epcc.mp3,epcc,7,41,45,https://media.deejay.it/legacy/audio/catteland/20190220.mp3
20200130 16:43:24,/home/biadmin/Music/20190221_epcc.mp3,epcc,7,40,44,https://media.deejay.it/legacy/audio/catteland/20190221.mp3
20200130 16:43:33,/home/biadmin/Music/20190222_epcc.mp3,epcc,6,41,45,https://media.deejay.it/legacy/audio/catteland/20190222.mp3
20200130 16:43:42,/home/biadmin/Music/20190225_epcc.mp3,epcc,6,42,46,https://media.deejay.it/legacy/audio/catteland/20190225.mp3
20200130 16:43:52,/home/biadmin/Music/20190226_epcc.mp3,epcc,7,47,52,https://media.deejay.it/legacy/audio/catteland/20190226.mp3
20200130 16:44:02,/home/biadmin/Music/20190227_epcc.mp3,epcc,7,43,48,https://media.deejay.it/legacy/audio/catteland/20190227.mp3
20200130 16:44:11,/home/biadmin/Music/20190228_epcc.mp3,epcc,7,42,46,https://media.deejay.it/legacy/audio/catteland/20190228.mp3
20200130 16:44:21,/home/biadmin/Music/20190301_epcc.mp3,epcc,7,43,47,https://media.deejay.it/legacy/audio/catteland/20190301.mp3
20200130 16:44:30,/home/biadmin/Music/20190304_epcc.mp3,epcc,6,39,43,https://media.deejay.it/legacy/audio/catteland/20190304.mp3
20200130 16:44:39,/home/biadmin/Music/20190305_epcc.mp3,epcc,6,40,43,https://media.deejay.it/legacy/audio/catteland/20190305.mp3
20200130 16:44:49,/home/biadmin/Music/20190306_epcc.mp3,epcc,8,40,44,https://media.deejay.it/legacy/audio/catteland/20190306.mp3
20200130 16:44:58,/home/biadmin/Music/20190307_epcc.mp3,epcc,7,41,45,https://media.deejay.it/legacy/audio/catteland/20190307.mp3
20200130 16:45:06,/home/biadmin/Music/20190308_epcc.mp3,epcc,6,40,43,https://media.deejay.it/legacy/audio/catteland/20190308.mp3
20200130 16:45:14,/home/biadmin/Music/20190311_epcc.mp3,epcc,6,40,44,https://media.deejay.it/legacy/audio/catteland/20190311.mp3
20200130 16:45:21,/home/biadmin/Music/20190312_epcc.mp3,epcc,7,41,45,https://media.deejay.it/legacy/audio/catteland/20190312.mp3
20200130 16:45:28,/home/biadmin/Music/20190313_epcc.mp3,epcc,6,39,43,https://media.deejay.it/legacy/audio/catteland/20190313.mp3
